,precision,recall,f1-score,support
Pushing_Two_Fingers_Away,0.7714285714285715,0.9,0.8307692307692308,30.0
Rolling_Hand_Backward,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Rolling_Hand_Forward,0.8125,0.8666666666666667,0.8387096774193549,30.0
Shaking_Hand,0.8108108108108109,1.0,0.8955223880597015,30.0
Swiping_Left,1.0,0.9666666666666667,0.9830508474576272,30.0
Thumb_Down,0.9230769230769231,0.8,0.8571428571428571,30.0
Zooming_In_With_Full_Hand,0.9642857142857143,0.9,0.9310344827586207,30.0
Zooming_Out_With_Full_Hand,0.9166666666666666,0.7333333333333333,0.8148148148148148,30.0
Zooming_Out_With_Two_Fingers,0.8275862068965517,0.8,0.8135593220338984,30.0
accuracy,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.8703703703703703
macro avg,0.8770023955368783,0.8703703703703703,0.8701411430136413,270.0
weighted avg,0.8770023955368782,0.8703703703703703,0.8701411430136413,270.0
