,precision,recall,f1-score,support
Pushing_Two_Fingers_Away,0.7567567567567568,0.9333333333333333,0.835820895522388,30.0
Rolling_Hand_Backward,0.8888888888888888,0.8,0.8421052631578947,30.0
Rolling_Hand_Forward,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Shaking_Hand,0.90625,0.9666666666666667,0.9354838709677419,30.0
Swiping_Left,0.8823529411764706,1.0,0.9375,30.0
Thumb_Down,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
Zooming_In_With_Full_Hand,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Zooming_Out_With_Full_Hand,0.8214285714285714,0.7666666666666667,0.7931034482758621,30.0
Zooming_Out_With_Two_Fingers,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
accuracy,0.8740740740740741,0.8740740740740741,0.8740740740740741,0.8740740740740741
macro avg,0.8779168199652198,0.8740740740740741,0.8733008192978029,270.0
weighted avg,0.8779168199652199,0.8740740740740741,0.8733008192978031,270.0
