,precision,recall,f1-score,support
Pushing_Two_Fingers_Away,0.7352941176470589,0.8333333333333334,0.78125,30.0
Rolling_Hand_Backward,0.9583333333333334,0.7666666666666667,0.8518518518518519,30.0
Rolling_Hand_Forward,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
Shaking_Hand,0.8055555555555556,0.9666666666666667,0.8787878787878788,30.0
Swiping_Left,0.967741935483871,1.0,0.9836065573770492,30.0
Thumb_Down,0.8,0.9333333333333333,0.8615384615384616,30.0
Zooming_In_With_Full_Hand,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Zooming_Out_With_Full_Hand,0.96,0.8,0.8727272727272727,30.0
Zooming_Out_With_Two_Fingers,0.8846153846153846,0.7666666666666667,0.8214285714285714,30.0
accuracy,0.8703703703703703,0.8703703703703703,0.8703703703703703,0.8703703703703703
macro avg,0.878932322371983,0.8703703703703705,0.8704084966019222,270.0
weighted avg,0.878932322371983,0.8703703703703703,0.8704084966019222,270.0
