,precision,recall,f1-score,support
7,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0
8,0.9473684210526315,0.6,0.7346938775510204,30.0
9,0.7,0.9333333333333333,0.8,30.0
10,0.8823529411764706,1.0,0.9375,30.0
17,1.0,1.0,1.0,30.0
20,0.9,0.9,0.9,30.0
24,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
26,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
27,0.75,0.8,0.7741935483870968,30.0
accuracy,0.8629629629629629,0.8629629629629629,0.8629629629629629,0.8629629629629629
macro avg,0.8745144947931326,0.8629629629629629,0.8597600463767899,270.0
weighted avg,0.8745144947931326,0.8629629629629629,0.8597600463767898,270.0
